"rank_global","economy","score_global","rank_universidade","score_universidade","rank_patente","score_patente"
1,"Switzerland",66.3,3,66.3,1,66.3
25,"China",50.6,31,50.6,1,50.6
10,"Germany",57.9,10,57.9,1,57.9
16,"Japan",54.5,15,54.5,1,54.5
11,"Korea, Republic of",57.1,25,57.1,1,57.1
4,"United States of America",61.4,2,61.4,6,61.4
5,"Finland",59.9,1,59.9,7,59.9
8,"Denmark",58.5,19,58.5,8,58.5
2,"Sweden",63.6,11,63.6,9,63.6
9,"Netherlands",58.3,9,58.3,10,58.3
12,"Luxembourg",57.1,17,57.1,11,57.1
20,"Austria",52.6,23,52.6,12,52.6
17,"New Zealand",54.2,16,54.2,13,54.2
78,"Iran, Islamic Republic of",30.5,94,30.5,14,30.5
18,"France",54,28,54,15,54
3,"United Kingdom",61.9,4,61.9,16,61.9
103,"Kyrgyzstan",26.6,118,26.6,17,26.6
43,"Russian Federation",38.5,65,38.5,18,38.5
56,"Ukraine",35.7,72,35.7,19,35.7
13,"Iceland",56,24,56,20,56
23,"Belgium",52,6,52,21,52
29,"Italy",47.2,57,47.2,22,47.2
60,"Armenia",35.1,102,35.1,23,35.1
22,"Norway",52,14,52,24,52
39,"Poland",40.2,71,40.2,25,40.2
26,"Malta",50.4,50,50.4,26,50.4
79,"Belarus",30.4,,30.4,27,30.4
75,"Kazakhstan",31.5,82,31.5,28,31.5
21,"Israel",52.3,7,52.3,29,52.3
55,"Mongolia",35.7,104,35.7,30,35.7
46,"Moldova, Republic of",38.4,112,38.4,31,38.4
7,"Ireland",59,13,59,32,59
42,"Turkey",39,59,39,33,39
27,"Czech Republic",49.4,41,49.4,34,49.4
64,"Georgia",33.9,117,33.9,35,33.9
30,"Portugal",46.4,22,46.4,36,46.4
6,"Singapore",59.2,5,59.2,37,59.2
28,"Spain",49.2,56,49.2,38,49.2
33,"Hungary",44.7,35,44.7,39,44.7
15,"Canada",54.7,18,54.7,40,54.7
40,"Greece",39.8,101,39.8,41,39.8
48,"Romania",37.9,69,37.9,42,37.9
34,"Latvia",44.3,61,44.3,43,44.3
65,"Serbia",33.8,89,33.8,44,33.8
24,"Estonia",51.7,33,51.7,45,51.7
47,"Croatia",38.3,77,38.3,46,38.3
32,"Slovenia",46,43,46,47,46
38,"Bulgaria",41.4,103,41.4,48,41.4
31,"Cyprus",46.3,39,46.3,49,46.3
36,"Lithuania",41.8,26,41.8,50,41.8
19,"Australia",53.1,20,53.1,51,53.1
35,"Malaysia",43.4,12,43.4,52,43.4
91,"Sri Lanka",28.9,100,28.9,53,28.9
66,"India",33.6,49,33.6,54,33.6
37,"Slovakia",41.7,80,41.7,55,41.7
69,"Brazil",33.2,53,33.2,56,33.2
51,"Montenegro",37.4,45,37.4,57,37.4
72,"Morocco",32.3,90,32.3,58,32.3
89,"Jamaica",29,55,29,59,29
85,"Azerbaijan",29.6,95,29.6,60,29.6
77,"Tunisia",30.6,107,30.6,61,30.6
54,"South Africa",35.8,30,35.8,62,35.8
44,"Chile",38.4,38,38.4,63,38.4
87,"Bosnia and Herzegovina",29.6,34,29.6,64,29.6
80,"Kenya",30.4,36,30.4,65,30.4
59,"Viet Nam",35.4,86,35.4,66,35.4
