Ano,Região Geográfica,Unidade da Federação,Município,Total,Educacao Infantil,Ensino Fundamental,Ensino Médio,Educação Profissional,Educação de Jovens e Adultos (EJA),Federal,Estadual,Municipal,Privada,Urbana,Rural,Feminino,Masculino,Não Declarada,Branca,Preta,Parda,Amarela,Indígena,Até 3 anos,4 a 5 anos,6 a 10 anos,11 a 14 anos,15 a 17 anos,18 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 anos ou mais
2015, Norte  , Rondônia  , Alta Floresta D'Oeste  ,6035,538,3944,1018,0,535,0,3635,2350,50,4672,1363,2904,3131,403,2111,119,3090,3,309,164,551,1983,1610,1043,247,181,78,66,39,73
2015, Norte  , Rondônia  , Alto Alegre dos Parecis  ,2940,180,2200,489,0,71,0,826,2085,29,1778,1162,1451,1489,386,800,79,1638,14,23,29,257,1008,926,554,102,39,6,7,7,5
2015, Norte  , Rondônia  , Alto Paraíso  ,4192,196,3006,643,0,347,0,1605,2587,0,2920,1272,2025,2167,3254,269,25,624,6,14,76,273,1421,1257,734,187,97,28,49,30,40
2015, Norte  , Rondônia  , Alvorada D'Oeste  ,3783,414,2364,641,0,364,0,2102,1610,71,3327,456,1879,1904,1211,895,125,1542,8,2,185,336,1141,979,699,148,77,60,47,45,66
2015, Norte  , Rondônia  , Ariquemes  ,27519,3144,16221,4153,1101,3447,585,11668,11490,3776,24423,3096,13590,13929,15573,4090,620,6950,265,21,1346,2643,7775,6797,5162,1378,867,451,347,313,440
2015, Norte  , Rondônia  , Buritis  ,9252,733,6298,1264,0,957,0,4408,4563,281,7536,1716,4581,4671,4913,1377,166,2609,183,4,194,816,2887,2611,1596,471,284,116,109,76,92
2015, Norte  , Rondônia  , Cabixi  ,1535,219,966,221,0,129,0,849,686,0,1408,127,767,768,275,693,27,539,1,0,93,178,496,360,242,55,40,13,21,12,25
2015, Norte  , Rondônia  , Cacaulândia  ,1321,116,933,212,0,60,0,529,792,0,1056,265,662,659,586,289,33,394,18,1,27,129,458,382,227,39,12,9,11,12,15
2015, Norte  , Rondônia  , Cacoal  ,23071,2598,12675,4009,1833,2137,277,10720,6782,5292,20502,2569,11624,11447,7896,5484,428,8687,58,518,1126,2107,6213,5349,4547,1165,1010,583,374,278,319
2015, Norte  , Rondônia  , Campo Novo de Rondônia  ,3137,233,2308,411,0,185,0,1000,2137,0,1492,1645,1542,1595,1091,608,62,1351,16,9,75,222,1107,929,524,111,72,29,22,13,33
2015, Norte  , Rondônia  , Candeias do Jamari  ,6881,939,4097,714,0,1131,0,3095,3786,0,5419,1462,3385,3496,4091,656,180,1911,19,24,249,674,2023,1741,1189,439,275,94,78,60,59
2015, Norte  , Rondônia  , Castanheiras  ,835,68,584,156,0,27,0,461,374,0,363,472,384,451,329,253,11,238,1,3,7,87,269,252,156,33,13,6,4,4,4
2015, Norte  , Rondônia  , Cerejeiras  ,4025,584,2426,540,0,475,0,2265,1576,184,3727,298,1982,2043,888,1670,129,1327,9,2,265,428,1187,1017,654,144,107,49,58,41,75
2015, Norte  , Rondônia  , Chupinguaia  ,2618,354,1813,451,0,0,0,936,1682,0,1682,936,1258,1360,642,603,58,1245,10,60,148,294,902,693,414,85,46,13,10,6,7
2015, Norte  , Rondônia  , Colorado do Oeste  ,4654,435,2529,1065,612,495,612,2789,1121,132,3474,1180,2258,2396,1749,1088,56,1745,16,0,218,349,1255,1155,997,192,161,103,85,54,85
2015, Norte  , Rondônia  , Corumbiara  ,1998,137,1400,298,0,163,0,1123,875,0,1040,958,970,1028,992,426,30,544,5,1,20,175,620,590,345,74,48,36,32,20,38
2015, Norte  , Rondônia  , Costa Marques  ,4328,459,2846,569,0,454,0,2243,2063,22,2769,1559,2122,2206,1412,641,158,2091,14,12,155,437,1381,1112,681,205,160,78,50,32,37
2015, Norte  , Rondônia  , Cujubim  ,4916,547,3456,652,0,261,0,1094,3685,137,4033,883,2386,2530,2275,623,84,1898,34,2,251,483,1539,1393,833,221,106,31,26,23,10
2015, Norte  , Rondônia  , Espigão D'Oeste  ,7608,718,4974,1305,24,611,0,4307,2907,394,6010,1598,3759,3849,1768,2360,199,2902,10,369,253,703,2508,2022,1294,234,229,130,85,78,72
2015, Norte  , Rondônia  , Governador Jorge Teixeira  ,2338,148,1599,391,0,200,0,1112,1226,0,1072,1266,1145,1193,275,625,79,1309,8,42,49,173,759,666,399,87,86,44,31,19,25
2015, Norte  , Rondônia  , Guajará-Mirim  ,13812,1401,8906,1620,26,1885,0,8138,4672,1002,11682,2130,6853,6959,2875,1642,297,7428,60,1510,418,1234,4276,3456,2355,682,627,304,190,131,139
2015, Norte  , Rondônia  , Itapuã do Oeste  ,2841,305,1916,259,0,361,0,1050,1791,0,2713,128,1330,1511,799,409,140,1462,27,4,137,266,949,731,439,129,100,35,20,16,19
