Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,18.746,18.078,17.429,16.836,16.328,15.913,15.591,15.342,15.132,14.931,14.727
Chile,CHL,15.411,15.133,14.872,14.627,14.394,14.171,13.959,13.757,13.566,13.385,13.213
Colombia,COL,19.48,19.078,18.663,18.247,17.842,17.451,17.079,16.727,16.393,16.076,15.773
Ecuador,ECU,23.343,23.07,22.831,22.607,22.382,22.147,21.897,21.631,21.354,21.07,20.781
Peru,PER,22.41,22.07,21.77,21.508,21.279,21.074,20.878,20.674,20.45,20.198,19.914
Paraguay,PRY,24.422,23.998,23.649,23.338,23.034,22.728,22.419,22.117,21.837,21.588,21.368
Venezuela. RB,VEN,22.419,22.118,21.822,21.532,21.247,20.966,20.687,20.407,20.125,19.842,19.556
Uruguay,URY,15.667,15.502,15.342,15.188,15.039,14.895,14.756,14.623,14.495,14.374,14.258
Suriname,SUR,20.829,20.554,20.291,20.033,19.776,19.517,19.254,18.986,18.718,18.455,18.197
Argentina,ARG,18.968,18.833,18.691,18.55,18.414,18.283,18.153,18.018,17.874,17.716,17.544
Bolivia,BOL,28.678,28.127,27.582,27.043,26.51,25.991,25.496,25.035,24.615,24.236,23.896
Guyana,GUY,22.336,21.528,20.781,20.123,19.58,19.164,18.891,18.77,18.777,18.885,19.065
China,CHN,12.29,12.4,12.09,12.1,12.14,12.13,11.9,11.93,12.1,12.08,12.4
India,IND,24.622,24.146,23.653,23.144,22.625,22.103,21.595,21.116,20.679,20.291,19.952
Russian Federation,RUS,10.4,10.2,10.4,11.3,12,12.3,12.5,12.6,13.3,13.2,13.3
South Africa,ZAF,23.357,23.028,22.686,22.355,22.051,21.777,21.534,21.313,21.1,20.883,20.657
